domain,model,temperature,method,k,method_detail,dataset_tag,batch_size,isl,osl,evidence_state,source_kind,source_file,clean_status_match,row_count,label_or_job_examples
Math,Qwen/Qwen3-235B-A22B,,eagle3,11,eagle3_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k11,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k11
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k3,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,baseline,3,eagle3_k3,math500,1,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113230
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,eagle3,3,eagle3_k3,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k3,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,,baseline,3,eagle3_k3,math500,2,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113230
Math,Qwen/Qwen3-235B-A22B,,eagle3,9,eagle3_k9,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k9
Math,Qwen/Qwen3-235B-A22B,,eagle3,9,eagle3_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k9,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k9
Math,Qwen/Qwen3-235B-A22B,,eagle3,9,eagle3_k9,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k9
Math,Qwen/Qwen3-235B-A22B,,eagle3,9,eagle3_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_eagle3_k9,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_eagle3_k9
Math,Qwen/Qwen3-235B-A22B,,pard2,,official_pard2,math500 | math500_osl32k_qwen235b_official_pard2,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2
Math,Qwen/Qwen3-235B-A22B,,baseline,,official_pard2,math500,1,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113228
Math,Qwen/Qwen3-235B-A22B,,pard2,,official_pard2,math500 | math500_osl32k_qwen235b_official_pard2,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2
Math,Qwen/Qwen3-235B-A22B,,baseline,,official_pard2,math500,2,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113228
Math,Qwen/Qwen3-235B-A22B,,pard2,1,official_pard2_k1,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k1,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,,pard2,1,official_pard2_k1,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k1,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,,pard2,11,official_pard2_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k11,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k11
Math,Qwen/Qwen3-235B-A22B,,pard2,11,official_pard2_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k11,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k11
Math,Qwen/Qwen3-235B-A22B,,pard2,9,official_pard2_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k9,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k9
Math,Qwen/Qwen3-235B-A22B,,pard2,9,official_pard2_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_official_pard2_k9,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k9
Math,Qwen/Qwen3-235B-A22B,,pard2,1,pard2_k1,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_oci_math,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,,pard2,11,pard2_k11,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k11
Math,Qwen/Qwen3-235B-A22B,,pard2,9,pard2_k9,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_official_pard2_k9
Math,Qwen/Qwen3-235B-A22B,,pard,11,pard_k11,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k11
Math,Qwen/Qwen3-235B-A22B,,pard,11,pard_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k11,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k11
Math,Qwen/Qwen3-235B-A22B,,pard,11,pard_k11,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k11
Math,Qwen/Qwen3-235B-A22B,,pard,11,pard_k11,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k11,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k11_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k11
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k5,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,baseline,5,pard_k5,math500,1,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113226
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,pard,5,pard_k5,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k5,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,,baseline,5,pard_k5,math500,2,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113226
Math,Qwen/Qwen3-235B-A22B,,pard,9,pard_k9,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k9
Math,Qwen/Qwen3-235B-A22B,,pard,9,pard_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k9,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k9
Math,Qwen/Qwen3-235B-A22B,,pard,9,pard_k9,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k9
Math,Qwen/Qwen3-235B-A22B,,pard,9,pard_k9,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_pard_k9,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_drafter_k9_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_pard_k9
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math_suffix_py312_retry1,1,4096,32768,final,metrics,docs/oci_qwen235b_math500_suffix_py312_retry1_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_suffix_k32,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_suffix_k32,1,,,manifest-only,manifest,docs/oci_qwen235b_math500_suffix_py312_retry1_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,baseline,32,suffix_k32,math500,1,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113224
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math_500_data_prompts_20260613.jsonl | qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math_suffix_py312_retry1,2,4096,32768,final,metrics,docs/oci_qwen235b_math500_suffix_py312_retry1_metrics_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_math500_osl32k_specdec_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_suffix_k32,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_osl32k_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,suffix,32,suffix_k32,math500 | math_500_data_prompts_20260613.jsonl | math500_osl32k_qwen235b_suffix_k32,2,,,manifest-only,manifest,docs/oci_qwen235b_math500_suffix_py312_retry1_manifest_20260613.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,,baseline,32,suffix_k32,math500,2,4096,32768,partial,status,docs/lyris_qwen235b_math500_osl32k_specdec_status_20260613.csv,no,1,2113224
Math,Qwen/Qwen3-235B-A22B,0.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,1,4096,32768,failed,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_row,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,0.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,0.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,2,4096,32768,failed,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_row,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,0.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math,1,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,1,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math,2,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,eagle3,3,eagle3_k3,math500 | math500_osl32k_qwen235b_eagle3_k3,2,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_eagle3_k3
Math,Qwen/Qwen3-235B-A22B,0.0,pard2,1,official_pard2_k1,math500 | math500_osl32k_qwen235b_official_pard2_k1,1,4096,32768,failed,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,0.0,pard2,1,official_pard2_k1,math500 | math500_osl32k_qwen235b_official_pard2_k1,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,0.0,pard2,1,official_pard2_k1,math500 | math500_osl32k_qwen235b_official_pard2_k1,2,4096,32768,failed,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,0.0,pard2,1,official_pard2_k1,math500 | math500_osl32k_qwen235b_official_pard2_k1,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_official_pard2_k1
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math,1,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,1,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math,2,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,pard,5,pard_k5,math500 | math500_osl32k_qwen235b_pard_k5,2,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_pard_k5
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math,1,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,1,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math_500_data_prompts_20260612.jsonl | qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math,2,4096,32768,final,metrics,docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,yes_row,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,2,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_fast_20260613_manifest.csv,no,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,0.0,suffix,32,suffix_k32,math500 | math500_osl32k_qwen235b_suffix_k32,2,4096,32768,manifest-only,status,docs/lyris_qwen235b_standalone_fast_20260613_status.csv,yes_source_batch_only,1,math500_osl32k_qwen235b_suffix_k32
Math,Qwen/Qwen3-235B-A22B,1.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,1,4096,32768,failed,status,docs/lyris_qwen235b_standalone_temp1rl_20260614_status.csv,yes_row,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,1.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,1,4096,32768,manifest-only,manifest,docs/lyris_qwen235b_standalone_temp1rl_20260614_manifest.csv,no,1,math500_osl32k_qwen235b_baseline
Math,Qwen/Qwen3-235B-A22B,1.0,baseline,,baseline,math500 | math500_osl32k_qwen235b_baseline,2,4096,32768,failed,status,docs/lyris_qwen235b_standalone_temp1rl_20260614_status.csv,yes_row,1,math500_osl32k_qwen235b_baseline
