job_id,label,method,model,prompt_count,isl,osl,batch_sizes,queue_state,acct_state,exit_code,elapsed,node,runtime,reason,logs_dir
2101422,qwen235b_n2_isl4096_osl32768_baseline,baseline,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:17:58,lyris0150,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_baseline_offset0_n2_isl4096_osl32768_bs1_20260611
2101423,qwen235b_n2_isl4096_osl32768_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,00:40:11,lyris0066,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k32_arctic_20260611
2101569,qwen235b_n16_isl4096_osl1024_pard_k3,pard,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:32:10,lyris0008,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k3_pard_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611
2101570,qwen235b_n16_isl4096_osl1024_pard_k5,pard,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:31:02,lyris0174,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k5_pard_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611
2101572,qwen235b_n16_isl4096_osl1024_pard2_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:33:14,lyris0175,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611
2101573,qwen235b_n16_isl4096_osl1024_pard2_k5,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:32:00,lyris0117,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611
2101574,qwen235b_n16_isl4096_osl1024_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,FAILED,1:0,00:00:36,lyris0126,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_native_k3_probe_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611
2101575,qwen235b_n16_isl4096_osl1024_eagle3_k1,eagle3,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:36:04,lyris0243,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k1_20260611
2101576,qwen235b_n16_isl4096_osl1024_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:29:40,lyris0126,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611
2101577,qwen235b_n2_isl4096_osl32768_pard_k3,pard,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,02:24:50,lyris0088,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard_k3_pard_offset0_n2_isl4096_osl32768_bs1_k3_20260611
2101578,qwen235b_n2_isl4096_osl32768_pard_k5,pard,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,02:21:23,lyris0271,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard_k5_pard_offset0_n2_isl4096_osl32768_bs1_k5_20260611
2101579,qwen235b_n2_isl4096_osl32768_pard2_k3,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:41:13,lyris0272,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n2_isl4096_osl32768_bs1_k3_20260611
2101580,qwen235b_n2_isl4096_osl32768_pard2_k5,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:38:38,lyris0273,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n2_isl4096_osl32768_bs1_k5_20260611
2101581,qwen235b_n2_isl4096_osl32768_eagle3_k1,eagle3,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,01:50:16,lyris0275,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n2_isl4096_osl32768_bs1_k1_20260611
2101582,qwen235b_n2_isl4096_osl32768_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,01:19:28,lyris0276,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n2_isl4096_osl32768_bs1_k3_20260611
2101640,qwen235b_n1_isl4096_osl256_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,1,4096,256,1,,FAILED,1:0,00:02:03,lyris0283,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl256_nativepard2_smoke_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl256_bs1_k3_20260611
2101655,qwen235b_n1_isl4096_osl256_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,1,4096,256,1,,COMPLETED,0:0,00:02:53,lyris0221,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl256_nativepard2_smoke_retry1_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl256_bs1_k3_20260611
2101759,qwen235b_n16_isl4096_osl1024_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,,COMPLETED,0:0,00:33:36,lyris0214,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_nativepard2_lyris_tp4_fp8kv_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611
2101818,qwen235b_n2_isl4096_osl32768_pard2_native_k1,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:40:10,lyris0243,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k1_20260611
2101819,qwen235b_n2_isl4096_osl32768_pard2_native_k2,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:37:39,lyris0248,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k2_20260611
2101761,qwen235b_n2_isl4096_osl32768_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,,COMPLETED,0:0,03:35:36,lyris0216,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k3_20260611
2104334,qwen235b_n1_isl4096_osl65536_baseline,baseline,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,COMPLETED,0:0,04:25:01,lyris0162,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pilot_lyris_tp4_fp8kv_baseline_offset0_n1_isl4096_osl65536_bs1_20260612
2104335,qwen235b_n1_isl4096_osl65536_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,COMPLETED,0:0,02:37:32,lyris0179,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pilot_lyris_tp4_fp8kv_suffix_offset0_n1_isl4096_osl65536_bs1_k32_arctic_20260612
2104336,qwen235b_n1_isl4096_osl65536_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,COMPLETED,0:0,02:23:03,lyris0006,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_suffix_k8_pilot_lyris_tp4_fp8kv_suffix_offset0_n1_isl4096_osl65536_bs1_k8_arctic_20260612
2104337,qwen235b_n1_isl4096_osl65536_pard_k5,pard,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,FAILED,1:0,02:28:12,lyris0007,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pard_pilot_lyris_tp4_fp8kv_pard_offset0_n1_isl4096_osl65536_bs1_k5_20260612
2104995,qwen235b_n1_isl4096_osl65536_pard_k3,pard,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,FAILED,1:0,02:26:29,lyris0220,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pard_k3_diag_lyris_tp4_fp8kv_pard_offset0_n1_isl4096_osl65536_bs1_k3_20260612
2104338,qwen235b_n1_isl4096_osl65536_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,COMPLETED,0:0,04:02:14,lyris0009,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_eagle3_pilot_lyris_tp4_fp8kv_eagle3_offset0_n1_isl4096_osl65536_bs1_k3_20260612
2104340,qwen235b_n1_isl4096_osl65536_pard2_native_k1,pard2,Qwen/Qwen3-235B-A22B,1,4096,65536,1,,FAILED,1:0,02:48:50,lyris0013,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl65536_bs1_k1_20260612
