checked_at,job_id,method_detail,state,live_generation_tok_s,live_generation_samples,live_speedup_vs_baseline,live_mean_acceptance_length,live_accepted_tok_s,live_drafted_tok_s,live_draft_acceptance_pct,live_spec_samples,latest_generation_line,latest_spec_line,logs_dir
2026-06-13T07:09:52+02:00,3288921,official_pard2_k11,RUNNING,6.88,5,0.912,1.05,0.32,72.10,0.44,5,"INFO 06-12 22:09:46 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 6.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:46 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.05, Accepted throughput: 0.30 tokens/s, Drafted throughput: 72.35 tokens/s, Accepted: 3 tokens, Drafted: 726 tokens, Per-position acceptance rate: 0.030, 0.015, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 0.4%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
2026-06-13T07:09:54+02:00,3288927,eagle3_k11,RUNNING,23.70,5,3.143,3.34,16.61,78.01,21.30,5,"INFO 06-12 22:09:47 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 24.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%","INFO 06-12 22:09:47 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.44, Accepted throughput: 17.38 tokens/s, Drafted throughput: 78.19 tokens/s, Accepted: 176 tokens, Drafted: 792 tokens, Per-position acceptance rate: 0.958, 0.903, 0.431, 0.139, 0.014, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 22.2%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
2026-06-13T07:15:54+02:00,3288484,baseline,RUNNING,7.36,5,1.000,,,,,0,"INFO 06-12 22:15:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.1%, Prefix cache hit rate: 43.6%",,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_k0_20260613_oci_math
2026-06-13T07:15:56+02:00,3288487,suffix_k32,FAILED,,0,,,,,,0,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math
2026-06-13T07:15:57+02:00,3288488,pard_k5,RUNNING,14.82,5,2.014,3.33,10.38,22.27,46.56,5,"INFO 06-12 22:15:52 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 14.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.5%, Prefix cache hit rate: 21.1%","INFO 06-12 22:15:52 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.31, Accepted throughput: 10.28 tokens/s, Drafted throughput: 22.24 tokens/s, Accepted: 104 tokens, Drafted: 225 tokens, Per-position acceptance rate: 1.000, 0.756, 0.378, 0.156, 0.022, Avg Draft acceptance rate: 46.2%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math
2026-06-13T07:15:59+02:00,3288490,official_pard2_k1,RUNNING,5.54,5,0.753,1.03,0.14,5.44,2.52,5,"INFO 06-12 22:15:56 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 5.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.1%, Prefix cache hit rate: 0.0%","INFO 06-12 22:15:56 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.02, Accepted throughput: 0.10 tokens/s, Drafted throughput: 5.43 tokens/s, Accepted: 1 tokens, Drafted: 55 tokens, Per-position acceptance rate: 0.018, Avg Draft acceptance rate: 1.8%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_oci_math
2026-06-13T07:16:00+02:00,3288491,eagle3_k3,RUNNING,21.46,5,2.916,2.89,14.05,22.30,63.02,5,"INFO 06-12 22:15:59 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 21.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 14.0%","INFO 06-12 22:15:59 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.80, Accepted throughput: 13.49 tokens/s, Drafted throughput: 22.49 tokens/s, Accepted: 135 tokens, Drafted: 225 tokens, Per-position acceptance rate: 0.907, 0.653, 0.240, Avg Draft acceptance rate: 60.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math
2026-06-13T07:16:02+02:00,3288594,suffix_k32,RUNNING,104.84,5,14.245,12.97,96.76,96.98,99.78,5,"INFO 06-12 22:15:59 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 105.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.6%, Prefix cache hit rate: 43.5%","INFO 06-12 22:15:59 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 13.00, Accepted throughput: 97.18 tokens/s, Drafted throughput: 97.18 tokens/s, Accepted: 972 tokens, Drafted: 972 tokens, Per-position acceptance rate: 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 100.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math_suffix_py312_retry1
2026-06-13T07:16:03+02:00,3288918,pard_k9,RUNNING,45.30,5,6.155,6.69,38.55,61.00,63.20,5,"INFO 06-12 22:15:56 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 64.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.2%, Prefix cache hit rate: 43.6%","INFO 06-12 22:15:56 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 9.38, Accepted throughput: 57.20 tokens/s, Drafted throughput: 61.46 tokens/s, Accepted: 578 tokens, Drafted: 621 tokens, Per-position acceptance rate: 1.000, 1.000, 1.000, 0.942, 0.942, 0.942, 0.928, 0.826, 0.797, Avg Draft acceptance rate: 93.1%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:16:04+02:00,3288922,official_pard2_k9,RUNNING,7.34,5,0.997,1.08,0.56,60.91,0.92,5,"INFO 06-12 22:15:55 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.6%, Prefix cache hit rate: 0.0%","INFO 06-12 22:15:55 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.06, Accepted throughput: 0.40 tokens/s, Drafted throughput: 60.92 tokens/s, Accepted: 4 tokens, Drafted: 612 tokens, Per-position acceptance rate: 0.029, 0.029, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 0.7%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:16:06+02:00,3288926,eagle3_k9,RUNNING,20.26,5,2.753,3.07,13.64,59.44,22.94,5,"INFO 06-12 22:16:05 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 19.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%","INFO 06-12 22:16:05 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.00, Accepted throughput: 13.20 tokens/s, Drafted throughput: 59.39 tokens/s, Accepted: 132 tokens, Drafted: 594 tokens, Per-position acceptance rate: 0.864, 0.606, 0.348, 0.182, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 22.2%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k9_20260613_oci_math_drafter_k9
2026-06-13T07:16:07+02:00,3288919,pard_k11,RUNNING,17.54,5,2.383,3.05,11.79,63.29,18.62,5,"INFO 06-12 22:16:07 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 18.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.4%, Prefix cache hit rate: 0.0%","INFO 06-12 22:16:07 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.16, Accepted throughput: 12.30 tokens/s, Drafted throughput: 62.69 tokens/s, Accepted: 123 tokens, Drafted: 627 tokens, Per-position acceptance rate: 1.000, 0.860, 0.298, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 19.6%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
2026-06-13T07:16:09+02:00,3288921,official_pard2_k11,RUNNING,7.16,5,0.973,1.07,0.50,73.47,0.68,5,"INFO 06-12 22:15:59 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.6%, Prefix cache hit rate: 0.0%","INFO 06-12 22:15:59 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.07, Accepted throughput: 0.50 tokens/s, Drafted throughput: 73.11 tokens/s, Accepted: 5 tokens, Drafted: 737 tokens, Per-position acceptance rate: 0.045, 0.030, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 0.7%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
2026-06-13T07:16:10+02:00,3288927,eagle3_k11,RUNNING,20.18,5,2.742,3.44,14.32,64.56,22.18,5,"INFO 06-12 22:16:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 19.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.3%, Prefix cache hit rate: 0.0%","INFO 06-12 22:16:00 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.20, Accepted throughput: 13.32 tokens/s, Drafted throughput: 66.69 tokens/s, Accepted: 134 tokens, Drafted: 671 tokens, Per-position acceptance rate: 1.000, 0.738, 0.311, 0.148, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, Avg Draft acceptance rate: 20.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k11_20260613_oci_math_drafter_k11
2026-06-13T07:20:09+02:00,3288484,baseline,RUNNING,7.50,5,1.000,,,,,0,"INFO 06-12 22:20:02 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.2%, Prefix cache hit rate: 43.6%",,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_baseline_offset0_n4_isl4096_osl32768_bs1_2_k0_20260613_oci_math
2026-06-13T07:20:11+02:00,3288487,suffix_k32,FAILED,,0,,,,,,0,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_20260613_oci_math
2026-06-13T07:20:12+02:00,3288488,pard_k5,RUNNING,14.46,5,1.928,3.25,10.02,22.29,45.00,5,"INFO 06-12 22:20:05 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 14.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.7%, Prefix cache hit rate: 21.1%","INFO 06-12 22:20:05 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 3.16, Accepted throughput: 9.58 tokens/s, Drafted throughput: 22.22 tokens/s, Accepted: 97 tokens, Drafted: 225 tokens, Per-position acceptance rate: 0.956, 0.778, 0.356, 0.044, 0.022, Avg Draft acceptance rate: 43.1%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_oci_math
2026-06-13T07:20:14+02:00,3288490,official_pard2_k1,RUNNING,5.42,5,0.723,1.00,0.00,5.44,0.00,5,"INFO 06-12 22:20:09 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 5.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.2%, Prefix cache hit rate: 0.0%","INFO 06-12 22:20:09 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 1.00, Accepted throughput: 0.00 tokens/s, Drafted throughput: 5.44 tokens/s, Accepted: 0 tokens, Drafted: 55 tokens, Per-position acceptance rate: 0.000, Avg Draft acceptance rate: 0.0%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_pard2_offset0_n4_isl4096_osl32768_bs1_2_k1_20260613_oci_math
2026-06-13T07:20:15+02:00,3288491,eagle3_k3,RUNNING,19.66,5,2.621,2.74,12.46,21.55,57.86,5,"INFO 06-12 22:20:11 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 19.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.1%, Prefix cache hit rate: 11.3%","INFO 06-12 22:20:11 [metrics.py:101] SpecDecoding metrics: Mean acceptance length: 2.67, Accepted throughput: 11.92 tokens/s, Drafted throughput: 21.45 tokens/s, Accepted: 120 tokens, Drafted: 216 tokens, Per-position acceptance rate: 0.736, 0.514, 0.417, Avg Draft acceptance rate: 55.6%",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qwen235b_a22b_math500_osl32k_oci_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_oci_math
