job_id,name,queue_state,acct_state,exit_code,nodes,tres_per_node,reason,start_time,queue_time,elapsed,acct_start,acct_end
2101241,vllm-suffix-qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control,,COMPLETED,0:0,,,,,,00:32:30,2026-06-11T17:40:36,2026-06-11T18:13:06
2101263,vllm-pard-qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk,,COMPLETED,0:0,,,,,,02:07:35,2026-06-11T17:45:00,2026-06-11T19:52:35
2101264,vllm-pard-qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk,,COMPLETED,0:0,,,,,,02:06:38,2026-06-11T17:45:04,2026-06-11T19:51:42
2101266,vllm-pard2-qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk,,TIMEOUT,0:0,,,,,,05:00:08,2026-06-11T17:45:10,2026-06-11T22:45:18
2101267,vllm-pard2-qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk,,TIMEOUT,0:0,,,,,,05:00:06,2026-06-11T17:45:12,2026-06-11T22:45:18
2101268,vllm-pard2-qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk,,COMPLETED,0:0,,,,,,04:26:22,2026-06-11T17:45:17,2026-06-11T22:11:39
2101269,vllm-pard2-qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk,,COMPLETED,0:0,,,,,,04:24:51,2026-06-11T17:45:20,2026-06-11T22:10:11
2101270,vllm-eagle3-qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,01:22:50,2026-06-11T17:45:27,2026-06-11T19:08:17
2101271,vllm-eagle3-qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,01:26:03,2026-06-11T17:45:28,2026-06-11T19:11:31
2101272,vllm-eagle3-qwen3_8b_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,01:28:27,2026-06-11T17:45:37,2026-06-11T19:14:04
2101273,vllm-eagle3-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,03:31:03,2026-06-11T17:45:37,2026-06-11T21:16:40
2101274,vllm-eagle3-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,03:39:30,2026-06-11T17:45:46,2026-06-11T21:25:16
2101275,vllm-eagle3-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,03:47:42,2026-06-11T17:45:47,2026-06-11T21:33:29
2101276,vllm-eagle3-qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_highk,,COMPLETED,0:0,,,,,,03:51:46,2026-06-11T17:45:48,2026-06-11T21:37:34
2102005,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,01:53:23,2026-06-11T20:17:39,2026-06-11T22:11:02
2102006,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,01:26:11,2026-06-11T20:18:13,2026-06-11T21:44:24
2102008,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,01:06:09,2026-06-11T20:18:13,2026-06-11T21:24:22
2102009,coreai_dlalgo_llm-specdec.suffix-qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,00:46:18,2026-06-11T20:18:13,2026-06-11T21:04:31
2101422,vllm-baseline-qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,03:17:58,2026-06-11T18:08:27,2026-06-11T21:26:25
2101423,vllm-suffix-qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2,,COMPLETED,0:0,,,,,,00:40:11,2026-06-11T18:08:30,2026-06-11T18:48:41
