checkpoint,train_records,job_id,batch_size,output_tok_s_per_gpu,acceptance_pct,mean_acceptance_length,speedup_vs_openmath_baseline_bs32,throughput_ratio_vs_public_pard_k5_bs32,status,notes
local_pard_k5_cat_token_mask_1024_8x128_gate,1024,3174176,32,495.8770470855295,46.73247176147349,3.3366235880736745,1.0243551857786177,0.7801089656295297,completed,OpenMath bs32 K5 gate for mask-mode token-confidence-only checkpoint; roughly baseline/current public recal level
local_pard_k5_cat_tpp_mask_2048_16x128_train,2048,3189439,,,,,,,completed,Mask-mode CAT token-prefix-product train expanded to 2048 teacher-logprob rows; completed in 4m45s elapsed with train_runtime=160.467s train_loss=1.093600869178772
local_pard_k5_cat_tpp_mask_2048_16x128_gate,2048,3189440,32,584.4189129703838,45.39834480007977,3.2699172400039886,1.207260040945309,0.9194021711051775,completed,OpenMath bs32 K5 gate for 2K CAT/TPP checkpoint; best current-harness local gate at 1.207x vs baseline and 1.206x vs current public recal, but acceptance stayed near 45.4%
local_pard_k5_dpace_target_2048_train,2048,3189721,,,,,,,completed,D-PACE-target probability weighted CE train over same 2048 teacher-logprob rows; completed in 5m04s elapsed
local_pard_k5_dpace_target_2048_gate,2048,3189722,32,511.583,45.46,3.273,1.0567996685593617,0.8048174185703256,completed,OpenMath bs32 K5 gate for D-PACE-target weighted CE checkpoint; acceptance stayed near CAT/TPP but throughput was only 1.057x vs baseline, so do not promote
local_pard_k5_dpace_draft_ce_2048_train,2048,3190562,,,,,,,completed,D-PACE draft-probability dynamic CE train using current drafter q_i for detached accepted-length weights; reused same 2048 teacher rows; completed in 4m50s elapsed with train_runtime=162.373s train_loss=5.469364166259766
local_pard_k5_dpace_draft_ce_2048_gate,2048,3190567,32,627.1401420985972,47.0078659720094,3.35039329860047,1.2955111767006888,0.9866107948184755,completed,OpenMath bs32 K5 gate for dynamic D-PACE draft-probability CE checkpoint; best current-harness local gate at 1.296x vs baseline and 1.294x vs current public recal, acceptance improved to 47.01%, still 0.987x vs historical public PARD reference
local_pard_k5_dpace_draft_ce_2048_gate_k3,2048,3193047,32,584.4718513068046,61.55159936314951,2.8465479808944854,1.2073693980122633,0.9194854531830841,completed,OpenMath bs32 K3 gate for same 2K dynamic D-PACE draft-probability CE checkpoint; K3 acceptance is high but throughput is lower than 2K K5; per-position acceptance 78.06/60.43/46.16%
local_pard_k5_dpace_draft_ce_4096_train,4096,3192611,,,,,,,completed,D-PACE draft-probability dynamic CE train expanded to 4096 math teacher rows; teacher chunks completed; train JSON assembled with 4096 written rows and 0 skipped rows; completed in 7m17s elapsed with train_runtime=283.5377s train_loss=5.330507278442383
local_pard_k5_dpace_draft_ce_4096_gate_k5,4096,3192612,32,586.7019245960529,46.92378328741965,3.3461891643709825,1.2119686930034765,0.9229937828732329,completed,OpenMath bs32 K5 gate for 4K dynamic D-PACE draft-probability CE checkpoint; throughput below 2K D-PACE draft CE K5 despite similar acceptance; per-position acceptance 76.19/56.92/42.55/33.04/25.93%
local_pard_k5_dpace_draft_ce_4096_gate_k3,4096,3192613,32,576.6894350292993,61.72903974470554,2.851871192341166,1.191285577122641,0.9072422313037379,completed,OpenMath bs32 K3 gate for the same 4K dynamic D-PACE checkpoint; higher acceptance than K5 but lower throughput; per-position acceptance 78.48/60.04/46.67%
local_pard_k5_accept_rate_2048_train,2048,3193161,,,,,,,completed,LK-loss-like direct acceptance-rate objective over the same 2048 math teacher rows; completed in 4m51s with train_runtime=164.3043s train_loss=-4.4168701171875; checkpoint-64 present
local_pard_k5_accept_rate_2048_gate,2048,3193162,32,613.1448727009399,46.79975555102872,3.339987777551436,1.2666005286517052,0.9645935726105077,completed,OpenMath bs32 K5 gate for accept-rate checkpoint; completed in 9m58s; better than 4K D-PACE but below 2K D-PACE K5; per-position acceptance 75.86/56.38/42.47/33.15/26.14%
local_pard_k5_dpace_accept_rate_ce_w1_2048_train,2048,3193361,,,,,,,completed,Hybrid D-PACE weighted CE plus accepted-prefix reward objective over the same 2048 math teacher rows; completed in 4m50s with train_runtime=165.5486s train_loss=1.296966552734375; cat_loss_mode=dpace_accept_rate_ce cat_accept_reward_weight=1.0
local_pard_k5_dpace_accept_rate_ce_w1_2048_gate,2048,3193362,32,600.9767837092053,46.86110544564552,3.343055272282276,1.2414643681196587,0.9454508529125079,completed,OpenMath bs32 K5 gate for hybrid checkpoint; completed in 11m11s; below 2K D-PACE K5 and below pure accept-rate; per-position acceptance 76.02/56.49/42.40/33.14/26.25%
local_pard_k5_dpace_draft_ce_alpha02_2048_train,2048,3193575,,,,,,,completed,D-PACE draft-probability CE smoothing ablation alpha=0.2 using the same 2048 teacher rows; completed in 4m51s with train_runtime=164.236s train_loss=2.493776321411133
local_pard_k5_dpace_draft_ce_alpha02_2048_gate,2048,3193576,32,601.7246948488668,47.83733443708609,3.3918667218543046,1.2430093612967308,0.9466274594704708,completed,OpenMath bs32 K5 gate for alpha=0.2 D-PACE smoothing ablation; completed in 9m42s; acceptance increased vs alpha=0.5 best but throughput regressed; per-position acceptance 76.66/57.19/43.58/34.46/27.30%
local_pard_k5_dpace_draft_ce_alpha08_2048_train,2048,3193588,,,,,,,completed,D-PACE draft-probability CE smoothing ablation alpha=0.8 using the same 2048 teacher rows; completed in 5m00s with train_runtime=174.6134s train_loss=9.099517822265625
local_pard_k5_dpace_draft_ce_alpha08_2048_gate,2048,3193589,32,591.0881843901192,47.430862547548064,3.3715431273774032,1.2210370503961876,0.9298942042801976,completed,OpenMath bs32 K5 gate for alpha=0.8 D-PACE smoothing ablation; completed in 11m45s; below alpha=0.5 best and alpha=0.2; per-position acceptance 76.86/57.45/42.77/33.65/26.43%
