job_id,dataset,model_group,label,method,method_detail,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,latest_error,tail_status
2109567,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109567.out,0.0,128.3,16,0,2.3,3.4,,,,,0,,,,,,ok
2109576,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109576.out,0.0,261.8,32,0,4.5,3.5,,,,,0,,,,,,ok
2109553,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k3_20260612/slurm-2109553.out,0.0,46.7,2,0,0.8,0.4,68.2,3.05,31.36,45.99,0,,,,,,ok
2109558,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260612/slurm-2109558.out,0.0,75.4,4,0,1.2,0.9,46.2,2.39,43.77,94.74,0,,,,,,ok
2109565,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260612/slurm-2109565.out,0.0,166.3,8,0,2.4,1.3,54.4,2.63,103.16,189.52,0,,,,,,ok
2109575,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k3_20260612/slurm-2109575.out,0.0,296.8,16,0,3.9,2.1,47.4,2.42,174.26,367.61,0,,,,,,ok
2109580,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k3_20260612/slurm-2109580.out,,,,,,,,,,,0,,,,,,ok
2109552,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k1_20260612/slurm-2109552.out,0.0,19.2,2,0,0.8,0.7,40.6,1.41,5.55,13.68,0,,,,,,ok
2109557,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard2_offset0_n4_isl4096_osl32768_bs4_k1_20260612/slurm-2109557.out,0.0,36.4,4,0,1.3,1.7,46.4,1.46,11.54,24.85,0,,,,,,ok
2109564,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard2_offset0_n8_isl4096_osl32768_bs8_k1_20260612/slurm-2109564.out,0.0,84.7,8,0,2.4,2.2,56.1,1.56,30.43,54.28,0,,,,,,ok
2109574,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_pard2_offset0_n16_isl4096_osl32768_bs16_k1_20260612/slurm-2109574.out,0.0,173.6,16,0,4.1,3.4,63.0,1.63,67.09,106.55,0,,,,,,ok
2109579,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_pard2_offset0_n32_isl4096_osl32768_bs32_k1_20260612/slurm-2109579.out,,,,,,,,,,,0,,,,,,ok
2109551,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k5_20260612/slurm-2109551.out,0.0,59.0,2,0,1.5,0.7,67.9,4.40,45.55,67.04,0,,,,,,ok
2109556,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612/slurm-2109556.out,0.0,65.8,4,0,1.8,1.7,28.7,2.44,38.82,135.04,0,,,,,,ok
2109563,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612/slurm-2109563.out,0.0,162.1,8,0,4.5,2.2,40.4,3.02,108.42,268.57,0,,,,,,ok
2109572,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/slurm-2109572.out,0.0,352.4,16,0,7.1,3.4,43.6,3.18,241.54,554.36,0,,,,,,ok
2109578,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612/slurm-2109578.out,0.0,576.6,32,0,5.8,3.5,34.9,2.74,366.44,1050.67,0,,,,,,ok
2109550,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_suffix_offset0_n2_isl4096_osl32768_bs2_k32_arctic_20260612/slurm-2109550.out,0.0,177.2,2,0,1.7,0.7,100.0,13.00,163.58,163.58,0,,,,,,ok
2109555,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260612/slurm-2109555.out,0.0,234.7,4,0,1.9,1.7,89.2,7.52,201.74,226.16,0,,,,,,ok
2109561,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260612/slurm-2109561.out,0.0,518.9,8,0,4.9,2.2,92.3,8.82,459.11,497.49,0,,,,,,ok
2109570,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_suffix_offset0_n16_isl4096_osl32768_bs16_k32_arctic_20260612/slurm-2109570.out,0.0,662.7,16,0,5.5,3.4,73.8,5.18,532.12,720.87,0,,,,,,ok
2109577,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_suffix_offset0_n32_isl4096_osl32768_bs32_k32_arctic_20260612/slurm-2109577.out,0.0,822.5,32,0,5.7,3.5,56.1,3.19,559.87,997.73,0,,,,,,ok
2102318,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/slurm-2102318.out,0.0,39.3,2,0,6.5,71.7,,,,,1,2,39.52,3316.484,0.0,,ok
2109238,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109238.out,0.0,79.3,4,0,3.2,50.6,,,,,0,,,,,,ok
2109250,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109250.out,0.0,147.0,8,0,4.5,50.8,,,,,0,,,,,,ok
2109269,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109269.out,0.0,80.3,4,0,28.3,3.4,,,,,0,,,,,,ok
2109288,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109288.out,,,,,,,,,,,0,,,,,srun: error: lyris0140: task 0: Exited with exit code 1,ok
2109375,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612_lowmbt/slurm-2109375.out,0.0,593.2,32,0,91.9,3.5,,,,,0,,,,,,ok
2102320,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/slurm-2102320.out,0.0,13.9,1,0,7.1,71.7,13.5,1.67,5.58,41.39,1,2,81.06,1617.057,0.0,,ok
2109241,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612/slurm-2109241.out,0.0,14.7,1,0,7.8,50.6,15.4,1.77,6.38,41.36,0,,,,,,ok
2109252,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612/slurm-2109252.out,0.0,137.8,6,0,50.4,50.8,37.2,2.86,89.64,240.95,0,,,,,,ok
2109272,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/slurm-2109272.out,0.0,122.2,3,0,42.1,3.4,80.3,5.02,97.82,121.79,0,,,,,,ok
2109291,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612/slurm-2109291.out,,,,,,,,,,,0,,,,,srun: error: lyris0027: task 0: Exited with exit code 1,ok
2109380,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612_lowmbt/slurm-2109380.out,0.0,242.9,11,0,63.9,3.5,36.7,2.83,157.18,428.68,0,,,,,,ok
2102319,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260611/slurm-2102319.out,0.0,216.5,1,0,3.2,71.7,100.0,13.00,200.31,200.31,2,2,318.91,410.995,0.0,,ok
2109240,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260612/slurm-2109240.out,0.0,325.8,2,0,7.0,50.6,97.9,12.64,300.07,306.57,1,4,595.65,220.050,0.0,,ok
2109251,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260612/slurm-2109251.out,0.0,333.5,1,0,4.4,50.8,96.2,12.45,307.86,320.12,1,8,1010.10,259.522,0.0,,ok
2109270,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_suffix_offset0_n16_isl4096_osl32768_bs16_k32_arctic_20260612/slurm-2109270.out,0.0,172.0,1,0,8.0,33.6,100.0,13.00,158.75,158.75,1,16,1442.99,363.335,0.0,,ok
2109290,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_suffix_offset0_n32_isl4096_osl32768_bs32_k32_arctic_20260612/slurm-2109290.out,,,,,,,,,,,0,,,,,srun: error: lyris0026: task 0: Exited with exit code 1,ok
2109376,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_suffix_offset0_n32_isl4096_osl32768_bs32_k32_arctic_20260612_lowmbt/slurm-2109376.out,0.0,80.8,1,0,3.4,46.9,66.5,6.21,67.81,101.97,1,32,2280.54,459.794,0.0,,ok
2102321,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/slurm-2102321.out,0.0,73.3,2,0,6.8,71.7,,,,,2,2,75.03,1746.953,0.0,,ok
2109242,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109242.out,0.0,148.3,4,0,14.7,50.6,,,,,1,4,148.90,880.254,0.0,,ok
2109255,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109255.out,0.0,298.7,8,0,33.9,50.8,,,,,1,8,290.93,901.049,0.0,,ok
2109277,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109277.out,0.0,537.9,16,0,95.3,51.4,,,,,1,16,605.07,866.495,0.0,,ok
2109292,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109292.out,0.0,144.8,4,21,93.1,3.5,,,,,0,,,,,,ok
2109382,full,qwen8,full_osl32k_qwen8_baseline,baseline,baseline,Qwen/Qwen3-8B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612_lowmbt/slurm-2109382.out,0.0,74.5,2,0,7.0,3.5,,,,,0,,,,,,ok
2102324,full,qwen8,full_osl32k_qwen8_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-8B,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260611/slurm-2102324.out,0.0,39.7,1,0,3.6,62.5,46.6,2.40,23.15,49.70,1,2,117.25,1117.918,0.0,,ok
2109246,full,qwen8,full_osl32k_qwen8_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-8B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl32k_bsweep_lyris_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260612/slurm-2109246.out,0.0,81.4,2,0,8.2,0.9,49.1,2.47,48.52,98.84,1,4,254.99,514.027,0.0,,ok
