job_id,temperature,model_group,batch_size,method,model,draft_model,specdec_method,num_speculative_tokens,prompt_count,isl,osl,max_model_len,max_num_batched_tokens,logs_dir,job_file
3423684,0.0,qwen32,16,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t00_offset0_n16_isl4096_osl32768_bs16_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t00_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423685,0.0,qwen32,16,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t00_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423686,0.0,qwen32,32,baseline,Qwen/Qwen3-32B,,draft_model,0,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t00_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423713,0.0,qwen32,32,suffix,Qwen/Qwen3-32B,,suffix,32,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t00_offset0_n32_isl4096_osl32768_bs32_k32_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t00_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423714,0.0,qwen32,32,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t00_offset0_n32_isl4096_osl32768_bs32_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t00_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423715,0.0,qwen32,32,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t00_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423716,1.0,qwen32,4,baseline,Qwen/Qwen3-32B,,draft_model,0,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n4_isl4096_osl32768_bs4_k0_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n4_bs4_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423717,1.0,qwen32,4,suffix,Qwen/Qwen3-32B,,suffix,32,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n4_isl4096_osl32768_bs4_k32_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n4_bs4_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423718,1.0,qwen32,4,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n4_bs4_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423719,1.0,qwen32,4,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,4,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n4_bs4_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423720,1.0,qwen32,8,baseline,Qwen/Qwen3-32B,,draft_model,0,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n8_isl4096_osl32768_bs8_k0_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n8_bs8_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423721,1.0,qwen32,8,suffix,Qwen/Qwen3-32B,,suffix,32,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n8_isl4096_osl32768_bs8_k32_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n8_bs8_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423727,1.0,qwen32,8,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t10_offset0_n8_isl4096_osl32768_bs8_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n8_bs8_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423728,1.0,qwen32,8,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,8,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n8_isl4096_osl32768_bs8_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n8_bs8_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423729,1.0,qwen32,16,baseline,Qwen/Qwen3-32B,,draft_model,0,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n16_isl4096_osl32768_bs16_k0_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423753,1.0,qwen32,16,suffix,Qwen/Qwen3-32B,,suffix,32,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n16_isl4096_osl32768_bs16_k32_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423756,1.0,qwen32,16,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t10_offset0_n16_isl4096_osl32768_bs16_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423757,1.0,qwen32,16,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,16,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n16_isl4096_osl32768_bs16_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n16_bs16_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423758,1.0,qwen32,32,baseline,Qwen/Qwen3-32B,,draft_model,0,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n32_isl4096_osl32768_bs32_k0_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423759,1.0,qwen32,32,suffix,Qwen/Qwen3-32B,,suffix,32,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n32_isl4096_osl32768_bs32_k32_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423761,1.0,qwen32,32,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_pard_t10_offset0_n32_isl4096_osl32768_bs32_k5_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
3423762,1.0,qwen32,32,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,32,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen32_osl32k_bsweep_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n32_isl4096_osl32768_bs32_k3_20260619_qmath_qwen32_osl32k_bsweep,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n32_bs32_20260619_qmath_qwen32_osl32k_bsweep.job.txt
