job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,logs_dir,source
3492747,math,qwen235b,eagle3,9,1.0,16,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n16_isl4096_osl32768_bs16_k9_20260621_qmath_qwen235b_eagle3_k9,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492748,math,qwen235b,eagle3,9,1.0,32,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n32_isl4096_osl32768_bs32_k9_20260621_qmath_qwen235b_eagle3_k9,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492749,math,qwen235b,eagle3,11,0.0,1,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n1_isl4096_osl32768_bs1_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492753,math,qwen235b,eagle3,11,0.0,2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n2_isl4096_osl32768_bs2_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492754,math,qwen235b,eagle3,11,0.0,4,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492767,math,qwen235b,eagle3,11,0.0,8,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492768,math,qwen235b,eagle3,11,0.0,16,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492769,math,qwen235b,eagle3,11,0.0,32,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492770,math,qwen235b,eagle3,11,1.0,1,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492771,math,qwen235b,eagle3,11,1.0,2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492772,math,qwen235b,eagle3,11,1.0,4,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492773,math,qwen235b,eagle3,11,1.0,8,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n8_isl4096_osl32768_bs8_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492774,math,qwen235b,eagle3,11,1.0,16,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n16_isl4096_osl32768_bs16_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
3492775,math,qwen235b,eagle3,11,1.0,32,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_eagle3_k9_k11_20260621/qwen235b_math500_osl32k_eagle3_t10_offset0_n32_isl4096_osl32768_bs32_k11_20260621_qmath_qwen235b_eagle3_k11,latest_oci_qmath_qwen235b_eagle3_k9_k11_20260621_jobs.csv
