scope,job_id,step_window,timing/train/total_step_time,performance/tokens_per_sec_per_gpu,timing/train/generation,timing/train/policy_training,timing/train/policy_and_reference_logprobs,avg_reward,loss,mean_generation_length,note,generation_kl_error
nocg-smoke,2465406,step-3,45.72,30.95,38.83,1.75,2.55,0.0000,0.0000,2692.6250,warmup comparison sample,0.0021
nocg-smoke,2465406,step-4,45.52,30.87,38.56,1.69,2.58,0.0000,0.0000,2713.3750,steady eager comparison sample,0.0020
nocg-smoke,2465406,step-5,48.30,35.29,38.66,2.15,4.93,0.0625,0.1294,3301.8125,steady eager comparison sample,0.0017
attn-smoke,2465399,step-1,268.31,6.90,88.90,100.65,75.97,0.0625,0.1674,3582.8125,cold model initialization sample,0.0017
attn-smoke,2465399,step-2,52.89,27.97,39.74,2.27,8.12,0.0625,0.1298,2835.3125,warmup optimizer step 2 of 3,0.0018
attn-smoke,2465399,step-3,47.42,35.77,39.64,2.27,2.82,0.0625,0.1065,3255.2500,warmup optimizer step 3 of 3,0.0018
attn-smoke,2465399,step-4,47.61,27.70,38.92,3.27,2.74,0.0000,0.0008,2540.1250,Transformer Engine graph capture step,0.0020
attn-smoke,2465399,step-5,46.86,30.67,39.54,1.65,2.94,0.0000,0.0007,2767.0000,first Transformer Engine graph replay step,0.0020
mamba-smoke,2465407,step-1,254.96,6.25,73.82,102.42,76.00,0.0625,0.1200,3065.5000,cold model initialization sample,0.0020
mamba-smoke,2465407,step-2,46.95,30.19,39.63,1.92,2.62,0.0000,0.0003,2711.4375,warmup optimizer step 2 of 3,0.0019
mamba-smoke,2465407,step-3,44.87,34.92,34.65,2.10,5.37,0.0000,0.0010,2996.0000,warmup optimizer step 3 of 3,0.0020
mamba-smoke,2465407,step-4,39.72,33.31,27.87,3.41,5.55,0.0000,0.0008,2548.7500,Transformer Engine graph capture step,0.0020
mamba-smoke,2465407,step-5,45.46,28.61,38.60,1.20,3.01,0.0625,0.0645,2493.8750,first Transformer Engine graph replay step,0.0015
moe-router-smoke,2465644,step-1,256.83,8.51,75.91,102.27,76.00,0.0000,0.0007,4250.7500,cold sample; generation 57.57 policy 42.74 logprob 57.51 tok/s/GPU,0.0019
moe-router-smoke,2465644,step-2,48.03,31.02,40.14,2.22,3.01,0.0000,0.0008,2856.2500,warmup 2 of 3; generation 74.23 policy 1340.29 logprob 989.25 tok/s/GPU,0.0019
moe-router-smoke,2465644,step-3,47.96,37.42,40.31,2.19,2.83,0.0000,0.0006,3452.5000,warmup 3 of 3; generation 89.04 policy 1638.03 logprob 1266.55 tok/s/GPU,0.0018
moe-router-smoke,2465644,step-4,34.24,38.05,20.56,3.29,7.80,0.0625,0.0730,2507.7500,capture and first replay; generation 126.75 policy 790.89 logprob 334.05 tok/s/GPU,0.0021
moe-router-smoke,2465644,step-5,45.70,31.80,38.69,1.55,2.88,0.0000,0.0002,2799.4375,graph replay; generation 75.13 policy 1874.05 logprob 1009.30 tok/s/GPU,0.0016
moe-router-preprocess-smoke,2465645,step-1,268.95,7.35,85.77,103.46,77.11,0.0000,0.0009,3834.3125,cold sample; generation 46.11 policy 38.22 logprob 51.29 tok/s/GPU,0.0019
moe-router-preprocess-smoke,2465645,step-2,49.53,29.84,36.78,1.96,8.04,0.0000,0.0008,2832.6250,warmup 2 of 3; generation 80.39 policy 1505.25 logprob 367.90 tok/s/GPU,0.0024
moe-router-preprocess-smoke,2465645,step-3,48.70,49.84,40.31,2.67,3.15,0.0625,0.1748,4718.4375,warmup 3 of 3; generation 120.43 policy 1821.23 logprob 1543.57 tok/s/GPU,0.0020
moe-router-preprocess-smoke,2465645,step-4,51.45,44.52,41.23,4.44,3.21,0.0625,0.1447,4484.3125,capture and first replay with 5 PP microbatches; generation 111.13 policy 1032.50 logprob 1429.31 tok/s/GPU,0.0019
full-combo-smoke,2465646,step-1,255.71,7.66,73.72,102.46,76.94,0.0000,0.0007,3796.7500,cold sample; generation 53.13 policy 38.23 logprob 50.91 tok/s/GPU,0.0019
full-combo-smoke,2465646,step-2,46.24,34.41,33.43,2.21,8.01,0.0000,0.0010,3058.6875,warmup 2 of 3; generation 95.20 policy 1438.18 logprob 397.17 tok/s/GPU,0.0023
full-combo-smoke,2465646,step-3,49.19,38.49,41.64,2.11,2.85,0.0000,0.0004,3649.2500,warmup 3 of 3; generation 90.92 policy 1797.95 logprob 1330.01 tok/s/GPU,0.0019
full-combo-smoke,2465646,step-4,48.29,27.52,39.29,3.89,2.55,0.0000,0.0002,2560.6250,capture and first replay; generation 67.64 policy 684.08 logprob 1043.73 tok/s/GPU,0.0021
full-combo-smoke,2465646,step-5,44.26,32.59,37.94,0.91,2.87,0.0000,0.0004,2777.8125,graph replay; generation 76.05 policy 3171.49 logprob 1006.61 tok/s/GPU,0.0019
